mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
N,C,52.5,4,1,32.5,10,5,6,336,25,3,1,0.33,68.402973
Q,C,120,3,5,25,2,8,8,135,0,3,1,1,33.983679
K,C,52.5,4,1,65,9,7,5,228.5714286,25,3,1,0.33,59.425505
K,C,37.5,4,0,0,14,8,0,0,25,3,1,0.5,93.704912
R,C,165,2,2,200,1,14,8,-0.571428571,25,3,1,0.75,34.384843
G,C,55,2,2,180,1.5,10.5,10,66.66666667,25,1,1,0.75,29.509541
K,C,110,2,0,0,1,11,14,38.18181818,25,2,1,1,33.174094
G,C,130,3,2,140,2,18,8,44.44444444,25,3,1.33,0.75,37.038562
R,C,45,2,1,100,4,15,6,50,25,1,1,0.67,49.120253
P,C,90,3,0,0,5,13,5,73.07692308,25,3,1,0.67,53.313813
Q,C,240,1,2,440,0,12,12,35,25,2,1,0.75,18.042851
G,C,18.33333333,6,2,96.66666667,2,17,1,6.176470588,25,1,1,1.25,50.764999
G,C,240,1,3,630,0,13,9,31.15384615,25,2,1,0.75,19.823573
G,C,110,3,2,93.33333333,2,13,7,56.53846154,25,3,1,0.5,40.400208
G,C,220,1,1,180,0,12,13,59.58333333,25,2,1,1,22.736446
R,C,55,2,0,0,0,22,3,3.409090909,25,1,1,1,41.445019
K,C,50,2,0,0,1,21,2,3.333333333,25,1,1,1,45.863324
K,C,220,1,0,0,1,13,12,18.46153846,25,2,1,1,35.782791
G,C,220,1,1,180,0,12,13,70.41666667,25,2,1,1,22.396513
K,C,110,3,3,140,4,10,7,112,25,3,1,0.5,40.448772
N,H,66.66666667,3,0,0,1,21,0,0,0,2,1,1,64.533816
K,C,165,2,0,0,1,21,3,4.285714286,25,3,1,1,46.895644
G,C,150,2,1,70,2,11,10,109.0909091,25,3,1,0.75,36.176196
R,C,150,2,0,0,1,18,5,22.22222222,25,3,1,0.75,44.330856
K,C,110,2,1,62.5,1,11,13,35.45454545,25,2,1,1,32.207582
K,C,110,1,0,0,1,14,11,19.64285714,25,1,1,0.75,31.435973
K,C,66.66666667,3,0,0,3,14,7,50,25,2,1,0.8,58.345141
P,C,120,3,2,106.6666667,5,12,10,166.6666667,25,3,1.25,0.67,40.917047
K,C,120,3,0,0,5,14,12,162.8571429,25,3,1.33,0.67,41.015492
P,C,220,1,1,135,0,13,12,23.07692308,25,2,1,0.75,28.025765
P,C,50,2,0,0,0,11,15,54.54545455,25,1,1,0.88,35.252444
G,C,220,1,1,280,0,15,9,27,25,2,1,0.75,23.804043
P,C,100,3,1,46.66666667,3,15,5,28.33333333,25,3,1,0.88,52.076897
P,C,110,3,0,0,3,17,3,15.88235294,25,3,1,0.25,53.371007
P,C,120,3,3,75,3,13,4,30.76923077,25,3,1,0.33,45.811716
Q,C,240,1,2,440,1,12,11,41.25,25,2,1,1,21.871292
G,C,36.66666667,3,1,83.33333333,1.5,11.5,10,78.26086957,25,1,1,0.75,31.072217
P,C,110,1,0,0,0,14,11,27.5,25,1,1,1.33,28.742414
K,C,165,2,1,85,1,17,6,21.17647059,100,3,1,1,36.523683
K,C,140,3,1,56.66666667,2,20,9,42.75,100,3,1.3,0.75,36.471512
G,C,110,2,1,130,0,21,3,5.714285714,25,2,1,1.5,39.241114
Q,C,50,4,2,75,2,12,6,47.5,25,2,1,0.67,45.328074
G,C,110,2,1,90,0,12,12,55,25,2,1,1,26.734515
A,H,50,4,1,0,0,16,3,17.8125,25,2,1,1,54.850917
R,C,112.5,4,3,71.25,3,16,11,116.875,25,3,1,1,37.136863
R,C,112.5,4,3,112.5,3,16,11,116.875,25,3,1,1,34.139765
K,C,160,3,2,100,3,17,13,122.3529412,25,3,1.5,0.67,30.313351
G,C,50,2,1,110,2,15,6,36,25,1,1,1,40.105965
K,C,120,2,1,95,0,15,9,24,25,2,1,0.67,29.924285
K,C,140,3,2,146.6666667,3,21,7,43.33333333,25,3,1.33,0.67,40.69232
K,C,90,3,0,0,3,18,2,10,25,3,1,1,59.642837
G,C,130,3,2,113.3333333,1.5,13.5,10,88.88888889,25,3,1.25,0.5,30.450843
P,C,120,3,1,66.66666667,6,11,14,330.9090909,25,3,1.33,0.67,37.840594
K,C,100,3,0,0,1,20,3,6.75,100,3,1,1,41.50354
Q,C,150,1,0,0,0,13,0,0,0,3,0.5,1,60.756112
Q,C,75,2,0,0,1,10,0,0,0,3,0.5,1,63.005645
Q,C,75,4,1,33.75,2,14,6,47.14285714,25,3,1,0.5,49.511874
Q,H,20,5,2,0,2.7,-1,-1,110,0,1,1,0.67,50.828392
K,C,80,3,1,70,5,14,12,205.7142857,25,2,1.33,0.75,39.259197
G,C,100,3,2,93.33333333,2.5,10.5,8,106.6666667,25,3,1,0.5,39.7034
K,C,135,2,0,0,2,15,6,44,25,3,1,0.5,55.333142
R,C,110,1,0,0,0,23,2,2.608695652,25,1,1,1.13,41.998933
K,C,55,2,0,0,0,22,3,4.772727273,25,1,1,1,40.560159
N,C,40,2,0,0,3,16,0,0,0,1,0.83,1,68.235885
N,C,30,3,0,0,4,19,0,0,0,1,1,0.67,74.472949
N,C,30,3,0,0,3,20,0,0,0,1,1,0.67,72.801787
K,C,110,2,1,35,1,9,15,66.66666667,25,2,1,0.75,31.230054
K,C,18.33333333,6,0,0,1,16,3,10.3125,25,1,1,1,53.131324
N,C,90,2,0,0,3,15,5,30,25,2,1,1,59.363993
G,C,165,2,1,100,0,21,3,5,100,3,1,1,38.839746
G,C,140,3,1,63.33333333,4,15,14,214.6666667,100,3,1.5,1,28.592785
G,C,100,3,1,66.66666667,3,16,3,20.625,100,3,1,1,46.658844
G,C,165,2,1,125,0,21,3,8.571428571,25,3,1,0.75,39.106174
G,C,220,1,1,140,0,13,12,23.07692308,25,2,1,1,27.753301
R,C,33.33333333,3,1,76.66666667,3,17,3,20.29411765,25,1,1,0.67,49.787445
G,C,33.33333333,3,1,66.66666667,3,17,3,19.41176471,25,1,1,1,51.592193
G,C,55,2,1,100,1,16,8,30,25,1,1,0.75,36.187559
